system:index,elevation,name,.geo
0,181,547,"{""type"":""Point"",""coordinates"":[-89.35424276716635,17.445674953473794]}"
1,1813,233,"{""type"":""Point"",""coordinates"":[36.8639790237097,0.31597154226593666]}"
2,1678,372,"{""type"":""Point"",""coordinates"":[36.90021694557824,0.2898824238009886]}"
3,1810,169,"{""type"":""Point"",""coordinates"":[36.84297716294369,0.35758265712740117]}"
4,1663,251,"{""type"":""Point"",""coordinates"":[36.90679905714171,0.37700065283851963]}"
5,1647,065,"{""type"":""Point"",""coordinates"":[36.88438780117373,0.3942274379637513]}"
6,193,497,"{""type"":""Point"",""coordinates"":[-89.33932644761876,17.441534941874057]}"
7,2280,110,"{""type"":""Point"",""coordinates"":[29.415316715226385,-2.546579392890571]}"
8,1775,259,"{""type"":""Point"",""coordinates"":[36.8783792336315,0.35874229563208]}"
9,1593,437,"{""type"":""Point"",""coordinates"":[36.82887305620966,0.5037197420359051]}"
10,1782,414,"{""type"":""Point"",""coordinates"":[36.871134420633815,0.34870332468008836]}"
11,222,392,"{""type"":""Point"",""coordinates"":[-89.21887925942633,17.323563176570584]}"
12,1582,373,"{""type"":""Point"",""coordinates"":[36.85684196258457,0.514976802973771]}"
13,296,230,"{""type"":""Point"",""coordinates"":[-76.92632491387245,-1.8440626992747933]}"
14,2362,504,"{""type"":""Point"",""coordinates"":[29.385725225195856,-2.6072618584119853]}"
15,1632,508,"{""type"":""Point"",""coordinates"":[36.89069681029452,0.41387499915897263]}"
16,1770,073,"{""type"":""Point"",""coordinates"":[36.871834127753296,0.3957090964858775]}"
17,158,458,"{""type"":""Point"",""coordinates"":[-89.24049012393131,17.36647265390731]}"
18,1667,409,"{""type"":""Point"",""coordinates"":[36.85632244570259,0.3980686784662569]}"
19,347,457,"{""type"":""Point"",""coordinates"":[-76.92143820544406,-1.8787353302322154]}"
20,291,055,"{""type"":""Point"",""coordinates"":[-76.83474114107756,-1.8855748606625178]}"
21,1707,022,"{""type"":""Point"",""coordinates"":[36.90013833459309,0.3207614226120245]}"
22,1662,471,"{""type"":""Point"",""coordinates"":[36.86185136455476,0.4122442349988146]}"
23,1673,410,"{""type"":""Point"",""coordinates"":[36.8703722625851,0.3859419414805249]}"
24,221,008,"{""type"":""Point"",""coordinates"":[-89.42048048427831,17.42420062175233]}"
25,1725,379,"{""type"":""Point"",""coordinates"":[36.88549290295677,0.2881180444688006]}"
26,1633,422,"{""type"":""Point"",""coordinates"":[36.832545427641556,0.4782569382141284]}"
27,296,344,"{""type"":""Point"",""coordinates"":[-76.9309696054842,-1.851634900970179]}"
28,275,176,"{""type"":""Point"",""coordinates"":[-89.16194523701087,17.535519048452937]}"
29,2188,225,"{""type"":""Point"",""coordinates"":[29.421881157340817,-2.5918260700357814]}"
30,1663,518,"{""type"":""Point"",""coordinates"":[36.9110880674045,0.310585522824417]}"
31,205,267,"{""type"":""Point"",""coordinates"":[-76.15850043677803,-1.9335396280450448]}"
32,1639,298,"{""type"":""Point"",""coordinates"":[36.85475242946671,0.4782273548816809]}"
33,1710,131,"{""type"":""Point"",""coordinates"":[36.888809462630654,0.2998261240016198]}"
34,1769,124,"{""type"":""Point"",""coordinates"":[36.88426357397885,0.3661099234994124]}"
35,159,119,"{""type"":""Point"",""coordinates"":[-89.25041868624844,17.312882827663895]}"
36,343,404,"{""type"":""Point"",""coordinates"":[-76.90619539604918,-1.8774590260595634]}"
37,1641,501,"{""type"":""Point"",""coordinates"":[36.86982812118411,0.4727646577680659]}"
38,1629,291,"{""type"":""Point"",""coordinates"":[36.911014059056335,0.4059318274608063]}"
39,181,440,"{""type"":""Point"",""coordinates"":[-89.34510662979936,17.505649236333443]}"
40,1807,302,"{""type"":""Point"",""coordinates"":[36.87252455701666,0.3244326111241371]}"
41,1624,258,"{""type"":""Point"",""coordinates"":[36.89964646902503,0.42653080657344494]}"
42,244,014,"{""type"":""Point"",""coordinates"":[-89.40753452209306,17.462611300994546]}"
43,2324,416,"{""type"":""Point"",""coordinates"":[29.417100767426344,-2.574455126420509]}"
44,1755,522,"{""type"":""Point"",""coordinates"":[36.84870391664237,0.3781883919551084]}"
45,1678,383,"{""type"":""Point"",""coordinates"":[36.84993911354929,0.4400926091787454]}"
46,246,526,"{""type"":""Point"",""coordinates"":[-89.21962200908158,17.477544788939728]}"
47,2422,129,"{""type"":""Point"",""coordinates"":[29.39661591159054,-2.5524396866885315]}"
48,243,370,"{""type"":""Point"",""coordinates"":[-76.83781456921474,-1.8770536154645836]}"
49,1634,206,"{""type"":""Point"",""coordinates"":[36.92595419300959,0.39755340561221963]}"
50,247,519,"{""type"":""Point"",""coordinates"":[-89.34672636767576,17.40657015241986]}"
51,205,453,"{""type"":""Point"",""coordinates"":[-89.35969966917423,17.48750633433792]}"
52,1633,551,"{""type"":""Point"",""coordinates"":[36.8404884721961,0.46257812044235513]}"
53,2345,417,"{""type"":""Point"",""coordinates"":[29.405029878310202,-2.612629848276045]}"
54,260,315,"{""type"":""Point"",""coordinates"":[-76.83690245696395,-1.8642956805841837]}"
55,1761,179,"{""type"":""Point"",""coordinates"":[36.88247352058484,0.3691159799182676]}"
56,1643,249,"{""type"":""Point"",""coordinates"":[36.8874792070224,0.41935091446448436]}"
57,1809,226,"{""type"":""Point"",""coordinates"":[36.867876083378924,0.2862350369610934]}"
58,2272,516,"{""type"":""Point"",""coordinates"":[29.40638411178184,-2.619436861567053]}"
59,1697,477,"{""type"":""Point"",""coordinates"":[36.84335173200797,0.38880097663629565]}"
60,2314,162,"{""type"":""Point"",""coordinates"":[29.41314453125297,-2.560880377050361]}"
61,150,287,"{""type"":""Point"",""coordinates"":[-89.27789470315696,17.368132706606215]}"
62,1656,095,"{""type"":""Point"",""coordinates"":[36.86167221895546,0.42780379224436804]}"
63,1728,450,"{""type"":""Point"",""coordinates"":[36.88682334252553,0.303496046537519]}"
64,1813,369,"{""type"":""Point"",""coordinates"":[36.85592763201621,0.2974385137151861]}"
65,2393,123,"{""type"":""Point"",""coordinates"":[29.370985157878252,-2.513776617328506]}"
66,1796,112,"{""type"":""Point"",""coordinates"":[36.86825667283611,0.3332293683737699]}"
67,1774,108,"{""type"":""Point"",""coordinates"":[36.8748229009666,0.3943556244553961]}"
68,203,502,"{""type"":""Point"",""coordinates"":[-89.25072300690697,17.526457225422796]}"
69,2637,314,"{""type"":""Point"",""coordinates"":[29.381387436666873,-2.53891885281452]}"
70,1650,113,"{""type"":""Point"",""coordinates"":[36.841138579257155,0.4265672374576081]}"
71,94,441,"{""type"":""Point"",""coordinates"":[-58.61707949534127,-19.84250142178485]}"
72,187,177,"{""type"":""Point"",""coordinates"":[-89.29183932513483,17.316871496101843]}"
73,1674,247,"{""type"":""Point"",""coordinates"":[36.84936517778058,0.4203033710460939]}"
74,1691,185,"{""type"":""Point"",""coordinates"":[36.83183842771321,0.41457220299540554]}"
75,189,470,"{""type"":""Point"",""coordinates"":[-89.3752821909996,17.54354318749816]}"
76,255,290,"{""type"":""Point"",""coordinates"":[-89.38775881768353,17.44264127986732]}"
77,2363,490,"{""type"":""Point"",""coordinates"":[29.301540157168105,-2.470058060481568]}"
78,1624,081,"{""type"":""Point"",""coordinates"":[36.92131495280321,0.3774443774973468]}"
79,1711,540,"{""type"":""Point"",""coordinates"":[36.855812761992944,0.37021142055911893]}"
80,2377,541,"{""type"":""Point"",""coordinates"":[29.396976826843545,-2.580788550656127]}"
81,267,105,"{""type"":""Point"",""coordinates"":[-89.26020127000108,17.429667706513456]}"
82,1812,031,"{""type"":""Point"",""coordinates"":[36.85534422579123,0.2970019375842059]}"
83,257,092,"{""type"":""Point"",""coordinates"":[-89.29852334205884,17.536732220783115]}"
84,2353,144,"{""type"":""Point"",""coordinates"":[29.399587661848912,-2.5722890297141343]}"
85,209,449,"{""type"":""Point"",""coordinates"":[-89.36910478923855,17.413248259248626]}"
86,2391,312,"{""type"":""Point"",""coordinates"":[29.388135443922582,-2.557353111471825]}"
