system:index,bare-coverfraction,crops-coverfraction,data-density-indicator,discrete_classification,discrete_classification-proba,forest_type,grass-coverfraction,moss-coverfraction,name,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
0,0,0,74,112,70,2,3,0,547,19,0,78,0,0,0,"{""type"":""Point"",""coordinates"":[-89.35424276716635,17.445674953473794]}"
1,4,23,82,20,30,0,50,0,233,19,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.8639790237097,0.31597154226593666]}"
2,0,13,86,20,32,0,56,0,372,21,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.90021694557824,0.2898824238009886]}"
3,6,1,86,20,38,0,63,0,169,21,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.84297716294369,0.35758265712740117]}"
4,3,12,82,20,50,0,49,0,251,28,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.90679905714171,0.37700065283851963]}"
5,8,0,83,20,40,0,57,0,065,29,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.88438780117373,0.3942274379637513]}"
6,0,0,73,112,83,2,9,0,497,3,0,88,0,0,0,"{""type"":""Point"",""coordinates"":[-89.33932644761876,17.441534941874057]}"
7,0,0,20,112,80,2,0,0,110,14,0,86,0,0,0,"{""type"":""Point"",""coordinates"":[29.415316715226385,-2.546579392890571]}"
8,0,4,83,20,39,0,63,0,259,26,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.8783792336315,0.35874229563208]}"
9,1,15,90,20,29,0,56,0,437,18,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.82887305620966,0.5037197420359051]}"
10,0,19,87,30,42,0,52,0,414,22,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.871134420633815,0.34870332468008836]}"
11,0,0,76,112,90,2,0,0,392,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.21887925942633,17.323563176570584]}"
12,0,23,86,20,43,0,49,0,373,23,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.85684196258457,0.514976802973771]}"
13,0,0,27,112,99,2,0,0,230,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.92632491387245,-1.8440626992747933]}"
14,0,0,20,112,98,2,0,0,504,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[29.385725225195856,-2.6072618584119853]}"
15,8,0,86,20,45,0,59,0,508,27,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.89069681029452,0.41387499915897263]}"
16,0,20,83,20,50,0,42,0,073,28,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.871834127753296,0.3957090964858775]}"
17,0,0,76,112,100,2,0,0,458,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.24049012393131,17.36647265390731]}"
18,0,12,83,20,43,0,57,0,409,22,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.85632244570259,0.3980686784662569]}"
19,0,0,53,112,96,2,0,0,457,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.92143820544406,-1.8787353302322154]}"
20,0,0,53,112,100,2,0,0,055,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.83474114107756,-1.8855748606625178]}"
21,0,10,86,20,52,0,53,0,022,27,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.90013833459309,0.3207614226120245]}"
22,8,0,82,20,56,0,54,0,471,29,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.86185136455476,0.4122442349988146]}"
23,0,17,83,20,34,0,52,0,410,22,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.8703722625851,0.3859419414805249]}"
24,0,0,70,112,99,2,0,0,008,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.42048048427831,17.42420062175233]}"
25,5,9,86,20,64,0,48,0,379,27,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.88549290295677,0.2881180444688006]}"
26,0,16,90,20,55,0,52,0,422,27,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.832545427641556,0.4782569382141284]}"
27,0,0,26,112,78,2,0,0,344,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.9309696054842,-1.851634900970179]}"
28,0,0,69,112,85,2,7,0,176,0,0,93,0,0,0,"{""type"":""Point"",""coordinates"":[-89.16194523701087,17.535519048452937]}"
29,0,0,27,112,81,2,9,0,225,9,0,82,0,0,0,"{""type"":""Point"",""coordinates"":[29.421881157340817,-2.5918260700357814]}"
30,0,0,86,20,53,0,61,0,518,30,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.9110880674045,0.310585522824417]}"
31,0,0,27,112,100,2,0,0,267,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.15850043677803,-1.9335396280450448]}"
32,0,0,87,20,38,0,55,0,298,33,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.85475242946671,0.4782273548816809]}"
33,0,10,83,20,59,0,57,0,131,24,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.888809462630654,0.2998261240016198]}"
34,0,21,82,20,39,0,55,0,124,19,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.88426357397885,0.3661099234994124]}"
35,0,0,75,112,99,2,0,0,119,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.25041868624844,17.312882827663895]}"
36,0,0,52,112,99,2,0,0,404,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.90619539604918,-1.8774590260595634]}"
37,0,19,86,20,41,0,53,0,501,22,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.86982812118411,0.4727646577680659]}"
38,12,0,91,20,49,0,58,0,291,25,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.911014059056335,0.4059318274608063]}"
39,0,0,70,112,98,2,0,0,440,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.34510662979936,17.505649236333443]}"
40,4,26,83,40,42,0,49,0,302,17,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.87252455701666,0.3244326111241371]}"
41,0,0,83,20,58,0,66,0,258,30,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.89964646902503,0.42653080657344494]}"
42,0,0,78,112,98,2,0,0,014,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.40753452209306,17.462611300994546]}"
43,0,0,21,112,78,2,16,0,416,0,0,84,0,0,0,"{""type"":""Point"",""coordinates"":[29.417100767426344,-2.574455126420509]}"
44,4,6,83,20,47,0,42,0,522,32,0,16,0,0,0,"{""type"":""Point"",""coordinates"":[36.84870391664237,0.3781883919551084]}"
45,0,0,83,20,48,0,60,0,383,32,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.84993911354929,0.4400926091787454]}"
46,0,0,74,112,97,2,0,0,526,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.21962200908158,17.477544788939728]}"
47,0,1,20,112,78,2,0,0,129,20,0,79,0,0,0,"{""type"":""Point"",""coordinates"":[29.39661591159054,-2.5524396866885315]}"
48,0,0,52,112,99,2,0,0,370,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.83781456921474,-1.8770536154645836]}"
49,4,15,83,20,48,0,52,0,206,25,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.92595419300959,0.39755340561221963]}"
50,0,0,79,112,99,2,0,0,519,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.34672636767576,17.40657015241986]}"
51,0,0,74,112,99,2,0,0,453,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.35969966917423,17.48750633433792]}"
52,8,1,83,20,44,0,59,0,551,26,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.8404884721961,0.46257812044235513]}"
53,0,0,26,112,99,2,0,0,417,8,0,92,0,0,0,"{""type"":""Point"",""coordinates"":[29.405029878310202,-2.612629848276045]}"
54,0,0,27,112,99,2,0,0,315,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.83690245696395,-1.8642956805841837]}"
55,0,0,79,20,41,0,63,0,179,27,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.88247352058484,0.3691159799182676]}"
56,5,0,86,20,47,0,59,0,249,27,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.8874792070224,0.41935091446448436]}"
57,3,21,86,20,38,0,41,0,226,24,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.867876083378924,0.2862350369610934]}"
58,0,0,26,112,97,2,0,0,516,11,0,89,0,0,0,"{""type"":""Point"",""coordinates"":[29.40638411178184,-2.619436861567053]}"
59,0,0,83,20,54,0,61,0,477,28,0,11,0,0,9,"{""type"":""Point"",""coordinates"":[36.84335173200797,0.38880097663629565]}"
60,0,0,27,112,80,2,0,0,162,13,0,87,0,0,0,"{""type"":""Point"",""coordinates"":[29.41314453125297,-2.560880377050361]}"
61,0,0,75,112,73,2,0,0,287,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.27789470315696,17.368132706606215]}"
62,0,0,83,20,42,0,65,0,095,28,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.86167221895546,0.42780379224436804]}"
63,0,13,83,20,60,0,53,0,450,23,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.88682334252553,0.303496046537519]}"
64,0,0,82,20,49,0,52,0,369,35,0,13,0,0,0,"{""type"":""Point"",""coordinates"":[36.85592763201621,0.2974385137151861]}"
65,0,14,52,112,67,2,0,0,123,0,0,86,0,0,0,"{""type"":""Point"",""coordinates"":[29.370985157878252,-2.513776617328506]}"
66,0,1,83,20,47,0,65,0,112,27,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.86825667283611,0.3332293683737699]}"
67,0,12,82,20,44,0,42,0,108,31,0,15,0,0,0,"{""type"":""Point"",""coordinates"":[36.8748229009666,0.3943556244553961]}"
68,0,0,70,112,98,2,0,0,502,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.25072300690697,17.526457225422796]}"
69,0,0,18,112,71,2,0,0,314,24,0,76,0,0,0,"{""type"":""Point"",""coordinates"":[29.381387436666873,-2.53891885281452]}"
70,4,19,83,20,41,0,49,0,113,22,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.841138579257155,0.4265672374576081]}"
71,0,17,87,30,25,0,45,0,441,15,0,23,0,0,0,"{""type"":""Point"",""coordinates"":[-58.61707949534127,-19.84250142178485]}"
72,0,0,80,112,99,2,0,0,177,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.29183932513483,17.316871496101843]}"
73,0,17,83,20,38,0,48,0,247,23,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.84936517778058,0.4203033710460939]}"
74,0,0,83,20,42,0,63,0,185,30,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.83183842771321,0.41457220299540554]}"
75,0,0,75,112,100,2,0,0,470,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.3752821909996,17.54354318749816]}"
76,0,0,74,112,100,2,0,0,290,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.38775881768353,17.44264127986732]}"
77,0,0,26,112,66,2,26,0,490,12,0,62,0,0,0,"{""type"":""Point"",""coordinates"":[29.301540157168105,-2.470058060481568]}"
78,0,16,83,20,52,0,52,0,081,27,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.92131495280321,0.3774443774973468]}"
79,0,0,90,20,58,0,62,0,540,29,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.855812761992944,0.37021142055911893]}"
80,0,0,26,112,78,2,0,0,541,21,0,79,0,0,0,"{""type"":""Point"",""coordinates"":[29.396976826843545,-2.580788550656127]}"
81,0,0,74,112,84,2,0,0,105,10,0,90,0,0,0,"{""type"":""Point"",""coordinates"":[-89.26020127000108,17.429667706513456]}"
82,0,15,82,20,43,0,46,0,031,26,0,13,0,0,0,"{""type"":""Point"",""coordinates"":[36.85534422579123,0.2970019375842059]}"
83,0,0,70,112,99,2,0,0,092,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.29852334205884,17.536732220783115]}"
84,0,0,20,112,97,2,14,0,144,2,0,84,0,0,0,"{""type"":""Point"",""coordinates"":[29.399587661848912,-2.5722890297141343]}"
85,0,0,75,112,97,2,0,0,449,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.36910478923855,17.413248259248626]}"
